Date,Open,High,Low,Close
12-Jun-19,11962.45,11962.45,11866.35,11906.2
13-Jun-19,11873.9,11931.35,11817.05,11914.05
14-Jun-19,11910.1,11911.85,11797.7,11823.3
17-Jun-19,11844,11844.05,11657.75,11672.15
18-Jun-19,11677.05,11727.2,11641.15,11691.5
19-Jun-19,11744.45,11802.5,11625.1,11691.45
20-Jun-19,11653.65,11843.5,11635.05,11831.75
21-Jun-19,11827.6,11827.95,11705.1,11724.1
24-Jun-19,11725.8,11754,11670.2,11699.65
25-Jun-19,11681,11814.4,11651,11796.45
26-Jun-19,11768.15,11871.85,11757.55,11847.55
27-Jun-19,11860.85,11911.15,11821.05,11841.55
28-Jun-19,11861.15,11871.7,11775.5,11788.85
01-Jul-19,11839.9,11884.65,11830.8,11865.6
02-Jul-19,11890.3,11917.45,11814.7,11910.3
03-Jul-19,11932.15,11945.2,11887.05,11916.75
04-Jul-19,11928.8,11969.25,11923.65,11946.75
05-Jul-19,11964.75,11981.75,11797.9,11811.15
08-Jul-19,11770.4,11771.9,11523.3,11558.6
09-Jul-19,11531.6,11582.55,11461,11555.9
10-Jul-19,11536.15,11593.7,11475.65,11498.9
11-Jul-19,11561.45,11599,11519.5,11582.9
12-Jul-19,11601.15,11639.55,11538.6,11552.5
15-Jul-19,11614.75,11618.4,11532.3,11588.35
16-Jul-19,11596.65,11670.05,11573.95,11662.6
17-Jul-19,11670.75,11706.65,11651.15,11687.5
18-Jul-19,11675.6,11677.15,11582.4,11596.9
19-Jul-19,11627.95,11640.35,11399.3,11419.25
22-Jul-19,11392.85,11398.15,11301.25,11346.2
23-Jul-19,11372.25,11398.15,11302.8,11331.05
24-Jul-19,11322.45,11359.75,11229.8,11271.3
25-Jul-19,11290.4,11361.4,11239.35,11252.15
26-Jul-19,11247.45,11307.6,11210.05,11284.3
29-Jul-19,11307.5,11310.95,11152.4,11189.2
30-Jul-19,11213.7,11267.45,11072.65,11085.4
01-Aug-19,11060.2,11076.75,10881,10980
02-Aug-19,10930.3,11080.15,10848.95,10997.35
05-Aug-19,10895.8,10895.8,10782.6,10862.6
06-Aug-19,10815.4,11018.55,10813.8,10948.25
07-Aug-19,10958.1,10975.65,10835.9,10855.5
08-Aug-19,10899.2,11058.05,10842.95,11032.45
09-Aug-19,11087.9,11181.45,11062.8,11109.65
13-Aug-19,11139.4,11145.9,10901.6,10925.85
14-Aug-19,11003.25,11078.15,10935.6,11029.4
16-Aug-19,11043.65,11068.65,10924.3,11047.8
19-Aug-19,11094.8,11146.9,11037.85,11053.9
20-Aug-19,11063.9,11076.3,10985.3,11017
21-Aug-19,11018.15,11034.2,10906.65,10918.7
22-Aug-19,10905.3,10908.25,10718.3,10741.35
23-Aug-19,10699.6,10862.55,10637.15,10829.35
26-Aug-19,11000.3,11070.3,10756.55,11057.85
27-Aug-19,11106.55,11141.75,11049.5,11105.35
28-Aug-19,11101.3,11129.65,10987.65,11046.1
29-Aug-19,10996.05,11021.1,10922.4,10948.3
30-Aug-19,10987.8,11042.6,10874.8,11023.25
03-Sep-19,10960.95,10967.5,10772.7,10797.9
04-Sep-19,10790.4,10858.75,10746.35,10844.65
05-Sep-19,10860.95,10920.1,10816,10847.9
06-Sep-19,10883.8,10957.05,10867.45,10946.2
09-Sep-19,10936.7,11028.85,10889.8,11003.05
11-Sep-19,11028.5,11054.8,11011.65,11035.7
12-Sep-19,11058.3,11081.75,10964.95,10982.8
13-Sep-19,10986.8,11084.45,10945.75,11075.9
16-Sep-19,10994.85,11052.7,10968.2,11003.5
17-Sep-19,11000.1,11000.1,10796.5,10817.6
18-Sep-19,10872.8,10885.15,10804.85,10840.65
19-Sep-19,10845.2,10845.2,10670.25,10704.8
24-Sep-19,11590.7,11655.05,11539.2,11588.2
25-Sep-19,11564.85,11564.95,11416.1,11440.2
26-Sep-19,11469.85,11610.85,11466.35,11571.2
27-Sep-19,11556.35,11593.6,11499.75,11512.4
30-Sep-19,11491.15,11508.25,11390.8,11474.45
01-Oct-19,11515.4,11554.2,11247.9,11359.9
03-Oct-19,11322.25,11370.4,11257.35,11314
04-Oct-19,11388.45,11400.3,11158.35,11174.75
07-Oct-19,11196.2,11233.85,11112.65,11126.4
09-Oct-19,11152.95,11321.6,11090.15,11313.3
10-Oct-19,11280.5,11293.35,11208.55,11234.55
11-Oct-19,11257.7,11362.9,11189.4,11305.05
14-Oct-19,11335.9,11420.45,11290.05,11341.15
15-Oct-19,11360.85,11462.35,11342.1,11428.3
16-Oct-19,11464.95,11481.05,11411.1,11464
17-Oct-19,11466.3,11599.1,11439.65,11586.35
18-Oct-19,11580.3,11684.7,11553.15,11661.85
22-Oct-19,11657.15,11714.35,11573.65,11588.35
23-Oct-19,11596.2,11651.6,11554.4,11604.1
24-Oct-19,11661.65,11679.6,11534.65,11582.6
25-Oct-19,11646.15,11646.9,11490.75,11583.9
27-Oct-19,11662.25,11672.4,11604.6,11627.15
29-Oct-19,11643.95,11809.4,11627.35,11786.85
30-Oct-19,11883.9,11883.95,11784.45,11844.1
31-Oct-19,11890.45,11945,11855.1,11877.45
04-Nov-19,11928.9,11989.15,11905.35,11941.3
05-Nov-19,11974.6,11978.95,11861.9,11917.2
06-Nov-19,11911.5,12002.9,11850.25,11966.05
07-Nov-19,12021.1,12021.4,11946.85,12012.05
08-Nov-19,11987.15,12034.15,11888.75,11908.15
11-Nov-19,11879.2,11932.65,11853.95,11913.45
13-Nov-19,11908.3,11946.8,11823.2,11840.45
14-Nov-19,11858.75,11895.65,11802.65,11872.1
15-Nov-19,11904.2,11973.65,11879.25,11895.45
18-Nov-19,11915.15,11946.2,11867.6,11884.5
19-Nov-19,11919.45,11958.85,11881.75,11940.1
20-Nov-19,12004.75,12038.6,11966.05,11999.1
21-Nov-19,12025.65,12028.2,11956.9,11968.4
22-Nov-19,11967.3,11968.1,11883.5,11914.4
25-Nov-19,11922.45,12084.5,11919.75,12073.75
26-Nov-19,12110.2,12132.45,12006.35,12037.7
27-Nov-19,12068.5,12114.9,12055.15,12100.7
28-Nov-19,12132.1,12158.8,12099.95,12151.15
29-Nov-19,12146.2,12147.4,12017.4,12056.05
02-Dec-19,12137.05,12137.15,12023.7,12048.2
06-Dec-19,12047.35,12057.05,11888.85,11921.5
12-Dec-19,11944.3,12005.5,11934,11971.8
13-Dec-19,12026.4,12098.85,12023.6,12086.7
16-Dec-19,12131.35,12134.65,12046.3,12053.95
